model,sample_idx,layer,collapse_entropy,mean_entropy,max_entropy
Optimized Composite,0,0,5.360835,5.311617,5.4264784
Staged Composite,0,0,5.380313,5.1179156,5.380313
Background Composite,0,0,5.3750386,5.411257,5.4395494
Optimized Composite,0,1,4.8852005,4.505838,5.3215747
Staged Composite,0,1,5.286483,4.021531,5.3969593
Background Composite,0,1,5.391013,5.4179177,5.4398656
Optimized Composite,0,2,4.321496,4.882668,5.438006
Staged Composite,0,2,5.3093543,5.264998,5.4380293
Background Composite,0,2,5.3624496,5.396602,5.4374714
Optimized Composite,0,3,5.1538696,5.0628514,5.4434257
Staged Composite,0,3,5.1398754,5.063524,5.4273176
Background Composite,0,3,5.3753557,5.4036717,5.441658
Optimized Composite,0,4,5.365938,5.3779254,5.439125
Staged Composite,0,4,5.392417,5.4206395,5.4433
Optimized Composite,0,5,5.358238,5.3566675,5.443513
Staged Composite,0,5,5.276161,5.3602896,5.441793
Optimized Composite,0,6,5.385403,5.4197073,5.445094
Optimized Composite,0,7,5.342141,5.401022,5.4434795
Optimized Composite,1,0,3.238853,2.9371526,3.2575436
Staged Composite,1,0,3.2336497,2.8531559,3.2336497
Background Composite,1,0,3.237106,3.2703588,3.291802
Optimized Composite,1,1,2.1524186,1.6035706,2.5837522
Staged Composite,1,1,2.8595817,1.3692349,3.0684967
Background Composite,1,1,3.2534893,3.2735782,3.288178
Optimized Composite,1,2,2.130239,2.7293591,3.274709
Staged Composite,1,2,3.2198484,3.1594303,3.26173
Background Composite,1,2,3.2358003,3.2594967,3.290336
Optimized Composite,1,3,2.9767938,2.8992107,3.2700765
Staged Composite,1,3,2.748343,2.9889286,3.286748
Background Composite,1,3,3.2146761,3.2454667,3.2908754
Optimized Composite,1,4,3.197761,3.1772354,3.2754588
Staged Composite,1,4,3.2289438,3.2750432,3.293938
Optimized Composite,1,5,3.1391954,3.1288126,3.281383
Staged Composite,1,5,3.1644413,3.2376933,3.2893581
Optimized Composite,1,6,3.2358649,3.269472,3.2927837
Optimized Composite,1,7,3.2083378,3.2478197,3.2895176
Optimized Composite,5,0,5.3525205,5.308851,5.417474
Staged Composite,5,0,5.374984,5.1181235,5.374984
Background Composite,5,0,5.371907,5.4029217,5.4287653
Optimized Composite,5,1,5.0746055,4.8789287,5.339266
Staged Composite,5,1,5.2590466,4.3548384,5.3887577
Background Composite,5,1,5.3847322,5.409818,5.431866
Optimized Composite,5,2,4.394814,4.863749,5.428547
Staged Composite,5,2,5.2994223,5.29024,5.425341
Background Composite,5,2,5.34766,5.3878417,5.427474
Optimized Composite,5,3,4.9881554,4.889057,5.434494
Staged Composite,5,3,5.1225395,5.0945845,5.424533
Background Composite,5,3,5.367465,5.394129,5.4327087
Optimized Composite,5,4,5.364432,5.3256793,5.4324856
Staged Composite,5,4,5.3823767,5.4014997,5.434923
Optimized Composite,5,5,5.3060126,5.3164105,5.434175
Staged Composite,5,5,5.2491446,5.345371,5.432256
Optimized Composite,5,6,5.3854513,5.4094124,5.4354467
Optimized Composite,5,7,5.31339,5.385069,5.4331226
